import time: self [us] | cumulative | imported package
import time:      4528 |       4528 |                 numpy._core._add_newdocs
import time:       903 |        903 |                 numpy._core._add_newdocs_scalars
import time:       521 |        521 |                 numpy._core._dtype
import time:       409 |        409 |                 numpy._core._dtype_ctypes
import time:       987 |        987 |                     sysconfig
import time:       152 |        152 |                     _ctypes
import time:    192411 |     192411 |                     ctypes._endian
import time:      1341 |     194889 |                   ctypes
import time:      1166 |     196055 |                 numpy._core._internal
import time:       541 |        541 |                 numpy._pytesttester
import time:       949 |     235769 |               numpy._core
import time:        21 |     235789 |             numpy._core._multiarray_umath
import time:       598 |     236387 |           numpy.__config__
import time:       506 |        506 |                             numpy._typing._nbit_base
import time:       507 |        507 |                             numpy._typing._nested_sequence
import time:       455 |        455 |                             numpy._typing._shape
import time:       860 |       2326 |                           numpy._typing._array_like
import time:       456 |        456 |                           numpy._typing._char_codes
import time:       934 |        934 |                           numpy._typing._dtype_like
import time:       405 |        405 |                           numpy._typing._nbit
import time:       427 |        427 |                           numpy._typing._scalars
import time:       366 |        366 |                           numpy._typing._ufunc
import time:       863 |       5774 |                         numpy._typing
import time:       382 |        382 |                             numpy.lib._array_utils_impl
import time:       519 |        901 |                           numpy.lib._stride_tricks_impl
import time:       556 |       1457 |                         numpy.lib._twodim_base_impl
import time:       377 |        377 |                         numpy.lib.array_utils
import time:      1514 |       1514 |                         numpy.linalg._umath_linalg
import time:      1732 |      10853 |                       numpy.linalg._linalg
import time:       906 |      11758 |                     numpy.linalg
import time:       760 |      12518 |                   numpy.matrixlib.defmatrix
import time:       759 |      13276 |                 numpy.matrixlib
import time:       554 |        554 |                   numpy.lib._histograms_impl
import time:      1170 |       1724 |                 numpy.lib._function_base_impl
import time:       651 |      15650 |               numpy.lib._index_tricks_impl
import time:       997 |      16647 |             numpy.lib._arraypad_impl
import time:       941 |        941 |             numpy.lib._arraysetops_impl
import time:       452 |        452 |             numpy.lib._arrayterator_impl
import time:       627 |        627 |             numpy.lib._nanfunctions_impl
import time:        89 |         89 |                       _wmi
import time:       957 |       1046 |                     platform
import time:       461 |       1506 |                   numpy.lib._utils_impl
import time:       481 |       1987 |                 numpy.lib._format_impl
import time:       380 |       2367 |               numpy.lib.format
import time:       528 |        528 |               numpy.lib._datasource
import time:       684 |        684 |               numpy.lib._iotools
import time:       891 |       4468 |             numpy.lib._npyio_impl
import time:       751 |        751 |                 numpy.lib._ufunclike_impl
import time:       550 |       1301 |               numpy.lib._type_check_impl
import time:       788 |       2088 |             numpy.lib._polynomial_impl
import time:       594 |        594 |             numpy.lib._shape_base_impl
import time:       439 |        439 |             numpy.lib._version
import time:       430 |        430 |             numpy.lib.introspect
import time:       447 |        447 |             numpy.lib.mixins
import time:       378 |        378 |             numpy.lib.npyio
import time:       533 |        533 |               numpy.lib._scimath_impl
import time:       437 |        970 |             numpy.lib.scimath
import time:       354 |        354 |             numpy.lib.stride_tricks
import time:       922 |      29750 |           numpy.lib
import time:       412 |        412 |           numpy._array_api_info
import time:      1549 |     271921 |         numpy
import time:      1495 |       1495 |         matplotlib._c_internal_utils
import time:       428 |        428 |           matplotlib._docstring
import time:       624 |       1051 |         matplotlib.mlab
import time:      1038 |     277165 |       matplotlib.cbook
import time:       808 |        808 |           matplotlib.backends.registry
import time:       745 |       1552 |         matplotlib.backends
import time:        74 |         74 |             binascii
import time:       549 |        623 |           base64
import time:       641 |        641 |             PIL._version
import time:       843 |       1483 |           PIL
import time:      3055 |       3055 |             PIL.ExifTags
import time:       708 |        708 |             PIL.ImageMode
import time:      1014 |       1014 |             PIL.TiffTags
import time:       587 |        587 |             PIL._binary
import time:       434 |        434 |             PIL._deprecate
import time:       417 |        417 |             PIL._util
import time:       789 |        789 |                     xml
import time:    214874 |     215662 |                   xml.parsers
import time:       236 |        236 |                   pyexpat
import time:    233226 |     449122 |                 xml.parsers.expat
import time:       808 |     449930 |               defusedxml.common
import time:       777 |     450707 |             defusedxml
import time:       743 |        743 |                 xml.etree
import time:       826 |        826 |                 xml.etree.ElementPath
import time:        98 |         98 |                 _elementtree
import time:    269783 |     271448 |               xml.etree.ElementTree
import time:         5 |          5 |               _elementtree
import time:      1004 |     272456 |             defusedxml.ElementTree
import time:      8819 |       8819 |             PIL._imaging
import time:      1942 |     740134 |           PIL.Image
import time:       433 |        433 |                 _decimal
import time:       413 |        846 |               decimal
import time:      1541 |       2386 |             fractions
import time:       461 |        461 |             PIL.ImageChops
import time:       881 |        881 |             PIL.ImageFile
import time:        80 |         80 |               array
import time:       436 |        436 |               PIL.GimpGradientFile
import time:       390 |        390 |               PIL.GimpPaletteFile
import time:       463 |        463 |               PIL.ImageColor
import time:       622 |        622 |               PIL.PaletteFile
import time:       513 |       2500 |             PIL.ImagePalette
import time:       464 |        464 |             PIL.ImageSequence
import time:      1554 |       8244 |           PIL.PngImagePlugin
import time:       673 |        673 |           matplotlib._cm
import time:      1664 |       1664 |                 matplotlib._path
import time:      1053 |       1053 |                   matplotlib.bezier
import time:       660 |       1712 |                 matplotlib.path
import time:      1417 |       4791 |               matplotlib.transforms
import time:      3468 |       8258 |             matplotlib.ticker
import time:       925 |       9183 |           matplotlib.scale
import time:       851 |        851 |           matplotlib._color_data
import time:      2078 |     763266 |         matplotlib.colors
import time:       692 |        692 |             pyparsing.warnings
import time:       699 |        699 |             pyparsing.util
import time:       631 |        631 |               pyparsing.unicode
import time:      1829 |       2459 |             pyparsing.exceptions
import time:       632 |        632 |               pyparsing.results
import time:       675 |       1307 |             pyparsing.actions
import time:      8636 |       8636 |             pyparsing.core
import time:    280365 |     280365 |                   html.entities
import time:      1031 |     281395 |                 html
import time:        20 |     281414 |               html.entities
import time:      2570 |     283984 |             pyparsing.helpers
import time:       626 |        626 |                   unittest.util
import time:    331651 |     332277 |                 unittest.result
import time:       975 |        975 |                 unittest.case
import time:       524 |        524 |                 unittest.suite
import time:       788 |        788 |                 unittest.loader
import time:       893 |        893 |                     gettext
import time:      1368 |       2261 |                   argparse
import time:       455 |        455 |                     unittest.signals
import time:       556 |       1010 |                   unittest.runner
import time:       531 |       3801 |                 unittest.main
import time:       947 |     339310 |               unittest
import time:       758 |     340068 |             pyparsing.testing
import time:      3710 |       3710 |             pyparsing.common
import time:       775 |        775 |                 importlib.resources.abc
import time:    426410 |     427185 |               importlib.resources._common
import time:       444 |        444 |               importlib.resources._functional
import time:       848 |     428476 |             importlib.resources
import time:      1174 |    1071201 |           pyparsing
import time:       686 |    1071886 |         matplotlib._fontconfig_pattern
import time:       781 |        781 |         matplotlib._enums
import time:      1009 |       1009 |         cycler
import time:      4600 |       4600 |           numpy.ma.core
import time:      1035 |       1035 |           numpy.ma.extras
import time:       883 |       6517 |         numpy.ma
import time:      2436 |    1847444 |       matplotlib.rcsetup
import time:      2959 |       2959 |       matplotlib.ft2font
import time:       629 |        629 |       dateutil._version
import time:       491 |        491 |         kiwisolver.exceptions
import time:      1694 |       2185 |       kiwisolver._cext
import time:      2358 |       2358 |           matplotlib.artist
import time:      1352 |       3710 |         matplotlib.colorizer
import time:      3957 |       3957 |         matplotlib._cm_listed
import time:      1065 |       1065 |         matplotlib._cm_multivar
import time:      1002 |       1002 |         matplotlib._cm_bivar
import time:      3157 |      12890 |       matplotlib.cm
import time:    692838 |    3288374 |     matplotlib
import time:      1811 |       1811 |       matplotlib._image
import time:       209 |        209 |           _socket
import time:      1473 |       1682 |         socket
import time:        39 |         39 |             _uuid
import time:       693 |        731 |           uuid
