import time: self [us] | cumulative | imported package
import time:       565 |        565 |                 numpy._core._add_newdocs_scalars
import time:       144 |        144 |                 numpy._core._dtype
import time:        84 |         84 |                 numpy._core._dtype_ctypes
import time:       372 |        372 |                     sysconfig
import time:       146 |        146 |                     _ctypes
import time:      1607 |       1607 |                     ctypes._endian
import time:       656 |       2780 |                   ctypes
import time:       794 |       3573 |                 numpy._core._internal
import time:       128 |        128 |                 numpy._pytesttester
import time:       331 |      30967 |               numpy._core
import time:        18 |      30984 |             numpy._core._multiarray_umath
import time:       262 |      31246 |           numpy.__config__
import time:       187 |        187 |                             numpy._typing._nbit_base
import time:       190 |        190 |                             numpy._typing._nested_sequence
import time:        78 |         78 |                             numpy._typing._shape
import time:       644 |       1098 |                           numpy._typing._array_like
import time:       155 |        155 |                           numpy._typing._char_codes
import time:       602 |        602 |                           numpy._typing._dtype_like
import time:        91 |         91 |                           numpy._typing._nbit
import time:        85 |         85 |                           numpy._typing._scalars
import time:        60 |         60 |                           numpy._typing._ufunc
import time:       560 |       2647 |                         numpy._typing
import time:        64 |         64 |                             numpy.lib._array_utils_impl
import time:       192 |        255 |                           numpy.lib._stride_tricks_impl
import time:       242 |        496 |                         numpy.lib._twodim_base_impl
import time:        75 |         75 |                         numpy.lib.array_utils
import time:      1166 |       1166 |                         numpy.linalg._umath_linalg
import time:      1440 |       5822 |                       numpy.linalg._linalg
import time:       112 |       5933 |                     numpy.linalg
import time:       542 |       6474 |                   numpy.matrixlib.defmatrix
import time:        94 |       6568 |                 numpy.matrixlib
import time:       268 |        268 |                   numpy.lib._histograms_impl
import time:      1372 |       1640 |                 numpy.lib._function_base_impl
import time:       331 |       8538 |               numpy.lib._index_tricks_impl
import time:       772 |       9309 |             numpy.lib._arraypad_impl
import time:       616 |        616 |             numpy.lib._arraysetops_impl
import time:       137 |        137 |             numpy.lib._arrayterator_impl
import time:       320 |        320 |             numpy.lib._nanfunctions_impl
import time:        89 |         89 |                       _wmi
import time:       589 |        677 |                     platform
import time:       166 |        843 |                   numpy.lib._utils_impl
import time:       166 |       1008 |                 numpy.lib._format_impl
import time:        79 |       1087 |               numpy.lib.format
import time:       196 |        196 |               numpy.lib._datasource
import time:       287 |        287 |               numpy.lib._iotools
import time:       509 |       2078 |             numpy.lib._npyio_impl
import time:       345 |        345 |                 numpy.lib._ufunclike_impl
import time:       203 |        547 |               numpy.lib._type_check_impl
import time:       427 |        974 |             numpy.lib._polynomial_impl
import time:       288 |        288 |             numpy.lib._shape_base_impl
import time:       104 |        104 |             numpy.lib._version
import time:        67 |         67 |             numpy.lib.introspect
import time:       128 |        128 |             numpy.lib.mixins
import time:        57 |         57 |             numpy.lib.npyio
import time:       179 |        179 |               numpy.lib._scimath_impl
import time:        54 |        233 |             numpy.lib.scimath
import time:        57 |         57 |             numpy.lib.stride_tricks
import time:       256 |      14616 |           numpy.lib
import time:       118 |        118 |           numpy._array_api_info
import time:       851 |      48085 |         numpy
import time:      1318 |       1318 |         matplotlib._c_internal_utils
import time:       140 |        140 |           matplotlib._docstring
import time:       316 |        456 |         matplotlib.mlab
import time:       658 |      51163 |       matplotlib.cbook
import time:       610 |        610 |           matplotlib.backends.registry
import time:       114 |        723 |         matplotlib.backends
import time:        75 |         75 |             binascii
import time:       209 |        283 |           base64
import time:       422 |        422 |             PIL._version
import time:       167 |        588 |           PIL
import time:      2701 |       2701 |             PIL.ExifTags
import time:       362 |        362 |             PIL.ImageMode
import time:       706 |        706 |             PIL.TiffTags
import time:       105 |        105 |             PIL._binary
import time:        73 |         73 |             PIL._deprecate
import time:        84 |         84 |             PIL._util
import time:        87 |         87 |                     xml
import time:      1796 |       1882 |                   xml.parsers
import time:       151 |        151 |                   pyexpat
import time:      1089 |       3122 |                 xml.parsers.expat
import time:      2020 |       5141 |               defusedxml.common
import time:       131 |       5272 |             defusedxml
import time:        69 |         69 |                 xml.etree
import time:       391 |        391 |                 xml.etree.ElementPath
import time:       104 |        104 |                 _elementtree
import time:      1301 |       1865 |               xml.etree.ElementTree
import time:         4 |          4 |               _elementtree
import time:       704 |       2572 |             defusedxml.ElementTree
import time:     10214 |      10214 |             PIL._imaging
import time:      1558 |      23642 |           PIL.Image
import time:       438 |        438 |                 _decimal
import time:        92 |        530 |               decimal
import time:      1171 |       1700 |             fractions
import time:       131 |        131 |             PIL.ImageChops
import time:       583 |        583 |             PIL.ImageFile
import time:       139 |        139 |               array
import time:       138 |        138 |               PIL.GimpGradientFile
import time:        95 |         95 |               PIL.GimpPaletteFile
import time:       153 |        153 |               PIL.ImageColor
import time:       276 |        276 |               PIL.PaletteFile
import time:       196 |        995 |             PIL.ImagePalette
import time:        92 |         92 |             PIL.ImageSequence
import time:      1198 |       4696 |           PIL.PngImagePlugin
import time:       324 |        324 |           matplotlib._cm
import time:      5006 |       5006 |                 matplotlib._path
import time:       757 |        757 |                   matplotlib.bezier
import time:       370 |       1127 |                 matplotlib.path
import time:      1097 |       7229 |               matplotlib.transforms
