import time: self [us] | cumulative | imported package
import time:       162 |        162 |   _io
import time:        29 |         29 |   marshal
import time:       254 |        254 |   posix
import time:       500 |        944 | _frozen_importlib_external
import time:        73 |         73 |   time
import time:       176 |        248 | zipimport
import time:        41 |         41 |     _codecs
import time:       438 |        479 |   codecs
import time:       619 |        619 |   encodings.aliases
import time:       722 |       1818 | encodings
import time:       130 |        130 | encodings.utf_8
import time:        71 |         71 | _signal
import time:        23 |         23 |     _abc
import time:       121 |        144 |   abc
import time:       126 |        270 | io
import time:        40 |         40 |       _stat
import time:        71 |        111 |     stat
import time:       704 |        704 |     _collections_abc
import time:        49 |         49 |       errno
import time:        72 |         72 |       genericpath
import time:       112 |        231 |     posixpath
import time:       396 |       1441 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       371 |        371 |   encodings.utf_8_sig
import time:        94 |         94 |         itertools
import time:        84 |         84 |         keyword
import time:        54 |         54 |           _operator
import time:       188 |        242 |         operator
import time:       124 |        124 |         reprlib
import time:        48 |         48 |         _collections
import time:       601 |       1190 |       collections
import time:        43 |         43 |         _functools
import time:       439 |        482 |       functools
import time:       377 |        377 |       types
import time:       421 |       2468 |     contextlib
import time:       953 |       3421 |   _virtualenv
import time:       221 |        221 |   _distutils_hack
import time:       156 |        156 |     importlib
import time:       508 |        508 |     importlib._abc
import time:       161 |        823 |   importlib.util
import time:        47 |         47 |   importlib.machinery
import time:      1329 |       1329 |   sitecustomize
import time:     26546 |      34263 | site
import time:      1486 |       1486 | linecache
import time:       455 |        455 |       nvml
import time:       504 |        959 |     nvml.cli
import time:      1689 |       2647 |   nvml.cli.make
import time:        43 |         43 |       atexit
import time:      1054 |       1054 |             enum
import time:        72 |         72 |               _sre
import time:       195 |        195 |                 re._constants
import time:       278 |        472 |               re._parser
import time:        86 |         86 |               re._casefix
import time:       639 |       1267 |             re._compiler
import time:       135 |        135 |             copyreg
import time:       418 |       2873 |           re
import time:        65 |         65 |           _ast
import time:      1210 |       4147 |         ast
import time:        37 |         37 |             _opcode
import time:       148 |        148 |             _opcode_metadata
import time:       216 |        401 |           opcode
import time:       714 |       1114 |         dis
import time:       123 |        123 |           token
import time:        34 |         34 |           _tokenize
import time:       689 |        846 |         tokenize
import time:       165 |        165 |           _weakrefset
import time:       349 |        513 |         weakref
import time:      2044 |       8662 |       inspect
import time:        72 |         72 |         _locale
import time:       685 |        756 |       locale
import time:       639 |        639 |           textwrap
import time:       263 |        263 |           warnings
import time:        95 |         95 |             __future__
import time:       155 |        250 |           _colorize
import time:       505 |       1655 |         traceback
import time:        29 |         29 |           _string
import time:       421 |        450 |         string
import time:       657 |        657 |         threading
import time:      1275 |       4036 |       logging
import time:       104 |        104 |             fnmatch
import time:       332 |        435 |           glob
import time:      1036 |       1471 |         pathlib._abc
import time:        87 |         87 |             _winapi
import time:        62 |         62 |             nt
import time:        58 |         58 |             nt
import time:        57 |         57 |             nt
import time:        54 |         54 |             nt
import time:        52 |         52 |             nt
import time:        52 |         52 |             nt
import time:        57 |         57 |             nt
import time:       184 |        659 |           ntpath
import time:        38 |         38 |           pwd
import time:        32 |         32 |           grp
import time:       382 |       1109 |         pathlib._local
import time:       135 |       2714 |       pathlib
import time:       138 |        138 |           copy
import time:       443 |        581 |         dataclasses
import time:       240 |        820 |       pprint
import time:        71 |         71 |         zlib
import time:       144 |        144 |           _compression
import time:        33 |         33 |           _bz2
import time:       162 |        338 |         bz2
import time:        57 |         57 |           _lzma
import time:       159 |        215 |         lzma
import time:       704 |       1328 |       shutil
import time:       441 |        441 |         signal
import time:        55 |         55 |         fcntl
import time:        79 |         79 |         msvcrt
import time:        26 |         26 |         _posixsubprocess
import time:        41 |         41 |         select
import time:        52 |         52 |           math
import time:       392 |        443 |         selectors
import time:       493 |       1575 |       subprocess
import time:        28 |         28 |             _bisect
import time:        84 |        112 |           bisect
import time:        30 |         30 |           _random
import time:       294 |        436 |         random
import time:       338 |        774 |       tempfile
import time:       121 |        121 |         packaging
import time:        38 |         38 |           _typing
import time:      1636 |       1674 |         typing
import time:       135 |        135 |         packaging._structures
import time:      2423 |       4352 |       packaging.version
import time:        40 |         40 |             _heapq
import time:       125 |        165 |           heapq
import time:       454 |        618 |         difflib
import time:       509 |        509 |         matplotlib._api.deprecation
import time:       660 |       1787 |       matplotlib._api
import time:        68 |         68 |       matplotlib._version
import time:        68 |         68 |             _struct
import time:        85 |        152 |           struct
import time:       308 |        460 |         gzip
import time:       226 |        226 |         shlex
import time:       438 |        438 |           numpy.version
import time:        82 |         82 |           numpy._expired_attrs_2_0
import time:       394 |        394 |               numpy._utils._conversions
import time:        90 |        484 |             numpy._utils
import time:       248 |        732 |           numpy._globals
import time:        24 |         24 |             numpy._distributor_init_local
import time:       107 |        131 |           numpy._distributor_init
import time:       121 |        121 |                       _datetime
import time:       160 |        280 |                     datetime
import time:       184 |        184 |                     numpy.exceptions
import time:      2691 |       2691 |                     numpy._core._exceptions
import time:        27 |         27 |                         _contextvars
import time:        83 |        110 |                       contextvars
import time:        99 |        208 |                     numpy._core.printoptions
import time:        86 |         86 |                     numpy.dtypes
import time:     10670 |      14117 |                   numpy._core._multiarray_umath
import time:       111 |        111 |                     numpy._utils._inspect
import time:       253 |        363 |                   numpy._core.overrides
import time:      1422 |      15900 |                 numpy._core.multiarray
import time:       153 |        153 |                 numpy._core.umath
import time:       271 |        271 |                   numbers
import time:        88 |         88 |                   numpy._core._string_helpers
import time:       218 |        218 |                   numpy._core._type_aliases
import time:       225 |        801 |                 numpy._core.numerictypes
import time:       178 |        178 |                             _compat_pickle
import time:       261 |        261 |                             _pickle
import time:       638 |       1076 |                           pickle
import time:       139 |       1214 |                         numpy._core._methods
import time:       555 |       1769 |                       numpy._core.fromnumeric
import time:       201 |       1969 |                     numpy._core.shape_base
import time:       150 |        150 |                     numpy._core._ufunc_config
import time:        95 |         95 |                     numpy._core._asarray
import time:       431 |        431 |                     numpy._core.arrayprint
import time:       534 |       3177 |                   numpy._core.numeric
import time:       256 |       3433 |                 numpy._core.einsumfunc
import time:       160 |        160 |                 numpy._core.function_base
import time:       170 |        170 |                 numpy._core.getlimits
import time:       129 |        129 |                 numpy._core.memmap
import time:       253 |        253 |                 numpy._core.records
import time:      4206 |       4206 |                 numpy._core._add_newdocs
import time:       528 |        528 |                 numpy._core._add_newdocs_scalars
import time:       135 |        135 |                 numpy._core._dtype
import time:        80 |         80 |                 numpy._core._dtype_ctypes
import time:       361 |        361 |                     sysconfig
import time:       142 |        142 |                     _ctypes
import time:       549 |        549 |                     ctypes._endian
import time:       623 |       1674 |                   ctypes
import time:       699 |       2373 |                 numpy._core._internal
import time:       112 |        112 |                 numpy._pytesttester
import time:       340 |      28767 |               numpy._core
import time:        18 |      28785 |             numpy._core._multiarray_umath
import time:       253 |      29038 |           numpy.__config__
import time:       163 |        163 |                             numpy._typing._nbit_base
import time:       172 |        172 |                             numpy._typing._nested_sequence
import time:        78 |         78 |                             numpy._typing._shape
import time:       524 |        935 |                           numpy._typing._array_like
import time:       142 |        142 |                           numpy._typing._char_codes
import time:       532 |        532 |                           numpy._typing._dtype_like
import time:        84 |         84 |                           numpy._typing._nbit
import time:        79 |         79 |                           numpy._typing._scalars
import time:        58 |         58 |                           numpy._typing._ufunc
import time:       153 |       1980 |                         numpy._typing
import time:        61 |         61 |                             numpy.lib._array_utils_impl
import time:       171 |        232 |                           numpy.lib._stride_tricks_impl
import time:       218 |        449 |                         numpy.lib._twodim_base_impl
import time:        70 |         70 |                         numpy.lib.array_utils
import time:      1197 |       1197 |                         numpy.linalg._umath_linalg
import time:      1363 |       5057 |                       numpy.linalg._linalg
import time:       106 |       5163 |                     numpy.linalg
import time:       573 |       5735 |                   numpy.matrixlib.defmatrix
import time:        91 |       5825 |                 numpy.matrixlib
import time:       200 |        200 |                   numpy.lib._histograms_impl
import time:       785 |        984 |                 numpy.lib._function_base_impl
import time:       296 |       7104 |               numpy.lib._index_tricks_impl
import time:       699 |       7802 |             numpy.lib._arraypad_impl
import time:       567 |        567 |             numpy.lib._arraysetops_impl
import time:       126 |        126 |             numpy.lib._arrayterator_impl
import time:       287 |        287 |             numpy.lib._nanfunctions_impl
import time:        85 |         85 |                       _wmi
import time:       532 |        616 |                     platform
import time:       140 |        756 |                   numpy.lib._utils_impl
import time:       153 |        908 |                 numpy.lib._format_impl
import time:        76 |        984 |               numpy.lib.format
import time:       189 |        189 |               numpy.lib._datasource
import time:       275 |        275 |               numpy.lib._iotools
import time:       459 |       1905 |             numpy.lib._npyio_impl
import time:       319 |        319 |                 numpy.lib._ufunclike_impl
import time:       193 |        512 |               numpy.lib._type_check_impl
import time:       398 |        910 |             numpy.lib._polynomial_impl
import time:       278 |        278 |             numpy.lib._shape_base_impl
import time:       104 |        104 |             numpy.lib._version
import time:        68 |         68 |             numpy.lib.introspect
import time:       124 |        124 |             numpy.lib.mixins
import time:        55 |         55 |             numpy.lib.npyio
import time:       177 |        177 |               numpy.lib._scimath_impl
import time:        53 |        229 |             numpy.lib.scimath
import time:        57 |         57 |             numpy.lib.stride_tricks
